Loaded plugins: fastestmirror, langpacks
ID     | Login user               | Date and time    | Action(s)      | Altered
-------------------------------------------------------------------------------
    41 | limarev <limarev>        | 2019-11-16 01:23 | Erase          |    9   
    40 | System <unset>           | 2019-11-16 01:14 | I, U           |    8   
    39 | limarev <limarev>        | 2019-11-16 00:59 | Install        |    1 EE
    38 | limarev <limarev>        | 2019-11-16 00:58 | Erase          |    1   
    37 | limarev <limarev>        | 2019-11-16 00:47 | Install        |    9   
    36 | System <unset>           | 2019-11-16 00:21 | Install        |    2   
    35 | System <unset>           | 2019-11-16 00:20 | Install        |    1   
    34 | limarev <limarev>        | 2019-11-15 23:53 | Install        |    1   
    33 | limarev <limarev>        | 2019-11-15 23:43 | Install        |    1 EE
    32 | limarev <limarev>        | 2019-11-15 03:21 | Install        |    1   
    31 | limarev <limarev>        | 2019-11-15 03:21 | Install        |    1   
    30 | limarev <limarev>        | 2019-11-15 01:41 | Install        |  228   
    29 | limarev <limarev>        | 2019-11-15 01:36 | Install        |    6   
    28 | limarev <limarev>        | 2019-11-15 00:30 | Install        |    3   
    27 | limarev <limarev>        | 2019-11-15 00:29 | Erase          |    1   
    26 | limarev <limarev>        | 2019-11-15 00:26 | Erase          |    1   
    25 | limarev <limarev>        | 2019-11-15 00:20 | Install        |    1   
    24 | limarev <limarev>        | 2019-11-14 23:49 | Install        |    1   
    23 | limarev <limarev>        | 2019-11-14 23:27 | Install        |    7   
    22 | limarev <limarev>        | 2019-11-14 22:05 | Install        |   28   
    21 | limarev <limarev>        | 2019-11-14 21:24 | Erase          |    3   
    20 | limarev <limarev>        | 2019-11-14 19:00 | Install        |    3   
    19 | limarev <limarev>        | 2019-11-14 18:56 | Erase          |   19   
    18 | limarev <limarev>        | 2019-11-14 00:03 | Install        |   19   
    17 | limarev <limarev>        | 2019-11-14 00:00 | Install        |    1   
    16 | limarev <limarev>        | 2019-11-13 22:50 | Erase          |    9   
    15 | limarev <limarev>        | 2019-11-13 22:46 | Install        |    9   
    14 | limarev <limarev>        | 2019-11-13 22:42 | Install        |   55   
    13 | limarev <limarev>        | 2019-11-13 22:39 | Install        |    1   
    12 | limarev <limarev>        | 2019-11-13 22:39 | Install        |    5   
    11 | limarev <limarev>        | 2019-11-13 22:37 | Install        |    3   
    10 | limarev <limarev>        | 2019-11-13 22:36 | Install        |    1   
     9 | limarev <limarev>        | 2019-11-13 22:22 | Erase          |    1   
     8 | limarev <limarev>        | 2019-11-13 20:45 | Install        |   12 EE
     7 | limarev <limarev>        | 2019-11-13 20:12 | Install        |    1   
     6 | limarev <limarev>        | 2019-11-13 19:39 | Install        |   13   
     5 | limarev <limarev>        | 2019-11-13 19:05 | Install        |   17   
     4 | limarev <limarev>        | 2019-11-13 19:02 | Install        |    1   
     3 | limarev <limarev>        | 2019-11-13 18:40 | Install        |    1   
     2 | System <unset>           | 2019-11-13 18:20 | I, U           |   72   
     1 | 1004                     | 2019-09-16 21:39 | Install        | 1448   
history list
